# PRISM-R: tracking the 25 per cent reduction in child remand
# A stock measure: the monthly remand population, and its 12-month rolling average, against the baseline and the target. See docs/target-metric.md for the definitions.
# PRISM-R, an open tool for analysis of remand disproportionality in
# the youth justice system of England and Wales. Oxon Advisory.
# https://prism-r.howpreventionworks.com
# Contains public sector information licensed under the Open Government
# Licence v3.0. Source and reference period are given per row.
# A blank value with a disclosure_status of suppressed or
# source_suppressed is a cell withheld under disclosure control; it is
# not a zero and must not be treated as one.
block,month,remand,rolling_avg_12m,provisional,age_basis,source,reference_period,disclosure_status
duration_median_nights,,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
duration_median_nights,,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
duration_median_nights,,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
duration_median_nights,,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
duration_median_nights,,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
duration_median_nights,,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
duration_median_nights,,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
duration_median_nights,,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
duration_median_nights,,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
duration_median_nights,,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
duration_median_nights,,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
duration_median_nights,,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
duration_median_nights,,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
duration_median_nights,,,,False,,"MoJ Youth Custody Service, monthly youth custody report",,released
duration_median_nights,,,,True,,"MoJ Youth Custody Service, monthly youth custody report",,released
duration_median_nights,,,,True,,"MoJ Youth Custody Service, monthly youth custody report",,released
flow_annual,,,,,,"MoJ Youth Custody Service, monthly youth custody report",,released
flow_annual,,,,,,"MoJ Youth Custody Service, monthly youth custody report",,released
flow_annual,,,,,,"MoJ Youth Custody Service, monthly youth custody report",,released
